id,name,height,weight,types,abilities,hp,attack,defense,special-attack,special-defense,speed
1,bulbasaur,7,69,"grass,poison","overgrow,chlorophyll",45,49,49,65,65,45
2,ivysaur,10,130,"grass,poison","overgrow,chlorophyll",60,62,63,80,80,60
3,venusaur,20,1000,"grass,poison","overgrow,chlorophyll",80,82,83,100,100,80
4,charmander,6,85,fire,"blaze,solar-power",39,52,43,60,50,65
5,charmeleon,11,190,fire,"blaze,solar-power",58,64,58,80,65,80
6,charizard,17,905,"fire,flying","blaze,solar-power",78,84,78,109,85,100
7,squirtle,5,90,water,"torrent,rain-dish",44,48,65,50,64,43
8,wartortle,10,225,water,"torrent,rain-dish",59,63,80,65,80,58
9,blastoise,16,855,water,"torrent,rain-dish",79,83,100,85,105,78
10,caterpie,3,29,bug,"shield-dust,run-away",45,30,35,20,20,45
11,metapod,7,99,bug,shed-skin,50,20,55,25,25,30
12,butterfree,11,320,"bug,flying","compound-eyes,tinted-lens",60,45,50,90,80,70
13,weedle,3,32,"bug,poison","shield-dust,run-away",40,35,30,20,20,50
14,kakuna,6,100,"bug,poison",shed-skin,45,25,50,25,25,35
15,beedrill,10,295,"bug,poison","swarm,sniper",65,90,40,45,80,75
16,pidgey,3,18,"normal,flying","keen-eye,tangled-feet,big-pecks",40,45,40,35,35,56
17,pidgeotto,11,300,"normal,flying","keen-eye,tangled-feet,big-pecks",63,60,55,50,50,71
18,pidgeot,15,395,"normal,flying","keen-eye,tangled-feet,big-pecks",83,80,75,70,70,101
19,rattata,3,35,normal,"run-away,guts,hustle",30,56,35,25,35,72
20,raticate,7,185,normal,"run-away,guts,hustle",55,81,60,50,70,97
21,spearow,3,20,"normal,flying","keen-eye,sniper",40,60,30,31,31,70
22,fearow,12,380,"normal,flying","keen-eye,sniper",65,90,65,61,61,100
23,ekans,20,69,poison,"intimidate,shed-skin,unnerve",35,60,44,40,54,55
24,arbok,35,650,poison,"intimidate,shed-skin,unnerve",60,95,69,65,79,80
25,pikachu,4,60,electric,"static,lightning-rod",35,55,40,50,50,90
26,raichu,8,300,electric,"static,lightning-rod",60,90,55,90,80,110
27,sandshrew,6,120,ground,"sand-veil,sand-rush",50,75,85,20,30,40
28,sandslash,10,295,ground,"sand-veil,sand-rush",75,100,110,45,55,65
29,nidoran-f,4,70,poison,"poison-point,rivalry,hustle",55,47,52,40,40,41
30,nidorina,8,200,poison,"poison-point,rivalry,hustle",70,62,67,55,55,56
31,nidoqueen,13,600,"poison,ground","poison-point,rivalry,sheer-force",90,92,87,75,85,76
32,nidoran-m,5,90,poison,"poison-point,rivalry,hustle",46,57,40,40,40,50
33,nidorino,9,195,poison,"poison-point,rivalry,hustle",61,72,57,55,55,65
34,nidoking,14,620,"poison,ground","poison-point,rivalry,sheer-force",81,102,77,85,75,85
35,clefairy,6,75,fairy,"cute-charm,magic-guard,friend-guard",70,45,48,60,65,35
36,clefable,13,400,fairy,"cute-charm,magic-guard,unaware",95,70,73,95,90,60
37,vulpix,6,99,fire,"flash-fire,drought",38,41,40,50,65,65
38,ninetales,11,199,fire,"flash-fire,drought",73,76,75,81,100,100
39,jigglypuff,5,55,"normal,fairy","cute-charm,competitive,friend-guard",115,45,20,45,25,20
40,wigglytuff,10,120,"normal,fairy","cute-charm,competitive,frisk",140,70,45,85,50,45
41,zubat,8,75,"poison,flying","inner-focus,infiltrator",40,45,35,30,40,55
42,golbat,16,550,"poison,flying","inner-focus,infiltrator",75,80,70,65,75,90
43,oddish,5,54,"grass,poison","chlorophyll,run-away",45,50,55,75,65,30
44,gloom,8,86,"grass,poison","chlorophyll,stench",60,65,70,85,75,40
45,vileplume,12,186,"grass,poison","chlorophyll,effect-spore",75,80,85,110,90,50
46,paras,3,54,"bug,grass","effect-spore,dry-skin,damp",35,70,55,45,55,25
47,parasect,10,295,"bug,grass","effect-spore,dry-skin,damp",60,95,80,60,80,30
48,venonat,10,300,"bug,poison","compound-eyes,tinted-lens,run-away",60,55,50,40,55,45
49,venomoth,15,125,"bug,poison","shield-dust,tinted-lens,wonder-skin",70,65,60,90,75,90
50,diglett,2,8,ground,"sand-veil,arena-trap,sand-force",10,55,25,35,45,95
